direccion_original,direccion_consulta,direccion_candidatas,direccion_normalizada,latitud,longitud,barrio_usig,comuna_usig,comuna_fuente,coincide_comuna,precision,estado,calidad_geo,criterio_seleccion,fecha_consulta
ZELARRAYAN 5751,ZELARRAYAN 5751,ZELARRAYAN 5751,"ZELARRAYAN 5751, CABA",-34.674416,-58.47996,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"VARELA, JOSE PEDRO 4793",VARELA 4793,VARELA 4793 | JOSE PEDRO VARELA 4793,"VARELA, JOSE PEDRO 4793, CABA",-34.610602,-58.517073,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
AYACUCHO 532,AYACUCHO 532,AYACUCHO 532,"AYACUCHO 532, CABA",-34.602884,-58.395511,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BACACAY 2402,BACACAY 2402,BACACAY 2402,"BACACAY 2402, CABA",-34.62648,-58.463853,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BAHIA BLANCA 2499,BAHIA BLANCA 2499,BAHIA BLANCA 2499,"BAHIA BLANCA 2499, CABA",-34.610945,-58.500435,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
RIVADAVIA AV. 10185,RIVADAVIA 10185,RIVADAVIA 10185 | AV RIVADAVIA 10185 | AVENIDA RIVADAVIA 10185,"RIVADAVIA AV. 10185, CABA",-34.638496,-58.507108,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ALBERDI, JUAN BAUTISTA AV. 2067",ALBERDI 2067,ALBERDI 2067 | JUAN BAUTISTA ALBERDI 2067 | AV JUAN BAUTISTA ALBERDI 2067,"ALBERDI, JUAN BAUTISTA AV. 2067, CABA",-34.629835,-58.457311,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ARREDONDO, Virrey 3486",ARREDONDO 3486,ARREDONDO 3486 | VIRREY ARREDONDO 3486,"ARREDONDO, VIRREY 3486, CABA",-34.576803,-58.458452,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LA PLATA AV. 2745,LA PLATA 2745,LA PLATA 2745 | AV LA PLATA 2745 | AVENIDA LA PLATA 2745,"LA PLATA AV. 2745, CABA",-34.646718,-58.419648,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
PASEO COLON AV. 464,PASEO COLON 464,PASEO COLON 464 | AV PASEO COLON 464 | AVENIDA PASEO COLON 464,"PASEO COLON AV. 464, CABA",-34.613008,-58.36888,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ROOSEVELT FRANKLIN D. AV. 5736,ROOSEVELT FRANKLIN D 5736,ROOSEVELT FRANKLIN D 5736 | AV ROOSEVELT FRANKLIN D 5736 | AVENIDA ROOSEVELT FRANKLIN D 5736,"ROOSEVELT FRANKLIN D. AV. 5736, CABA",-34.577663,-58.494259,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BULNES 1901,BULNES 1901,BULNES 1901,"BULNES 1901, CABA",-34.589281,-58.412646,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
11 DE SEPTIEMBRE DE 1888 4640,11 DE SEPTIEMBRE DE 1888 4640,11 DE SEPTIEMBRE DE 1888 4640,"11 DE SEPTIEMBRE DE 1888 4640, CABA",-34.537728,-58.467313,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ALCORTA, AMANCIO AV. 2585",ALCORTA 2585,ALCORTA 2585 | AMANCIO ALCORTA 2585 | AV AMANCIO ALCORTA 2585,"ALCORTA, AMANCIO AV. 2585, CABA",-34.64309,-58.397531,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
REGIMIENTO DE PATRICIOS AV. 1807,REGIMIENTO DE PATRICIOS 1807,REGIMIENTO DE PATRICIOS 1807 | AV REGIMIENTO DE PATRICIOS 1807 | AVENIDA REGIMIENTO DE PATRICIOS 1807,"REGIMIENTO DE PATRICIOS AV. 1807, CABA",-34.646618,-58.368367,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
OLAZABAL 2341,OLAZABAL 2341,OLAZABAL 2341,"OLAZABAL 2341, CABA",-34.559724,-58.45764,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
RIVADAVIA AV. 1999,RIVADAVIA 1999,RIVADAVIA 1999 | AV RIVADAVIA 1999 | AVENIDA RIVADAVIA 1999,"RIVADAVIA AV. 1999, CABA",-34.609313,-58.394736,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
GAVILAN 1020,GAVILAN 1020,GAVILAN 1020,"GAVILAN 1020, CABA",-34.61781,-58.464997,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ECHEVERRIA 5130,ECHEVERRIA 5130,ECHEVERRIA 5130,"ECHEVERRIA 5130, CABA",-34.579615,-58.482177,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LOPE DE VEGA AV. 2631,LOPE DE VEGA 2631,LOPE DE VEGA 2631 | AV LOPE DE VEGA 2631 | AVENIDA LOPE DE VEGA 2631,"LOPE DE VEGA AV. 2631, CABA",-34.617489,-58.520413,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BALBASTRO 5537,BALBASTRO 5537,BALBASTRO 5537,"BALBASTRO 5537, CABA",-34.670254,-58.480938,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CASEROS AV. 4039,CASEROS 4039,CASEROS 4039 | AV CASEROS 4039 | AVENIDA CASEROS 4039,"CASEROS AV. 4039, CABA",-34.639763,-58.421446,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LACARRA 250,LACARRA 250,LACARRA 250,"LACARRA 250, CABA",-34.637721,-58.484389,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
EL SALVADOR 4094,EL SALVADOR 4094,EL SALVADOR 4094,"EL SALVADOR 4094, CABA",-34.592824,-58.420571,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
HIDALGO 1534,HIDALGO 1534,HIDALGO 1534,"HIDALGO 1534, CABA",-34.603241,-58.44469,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ARCE 732,ARCE 732,ARCE 732,"ARCE 732, CABA",-34.568621,-58.434892,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
HONDURAS AV. 4109,HONDURAS 4109,HONDURAS 4109 | AV HONDURAS 4109 | AVENIDA HONDURAS 4109,"HONDURAS AV. 4109, CABA",-34.594098,-58.421213,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
RUIZ HUIDOBRO AV. 3942,RUIZ HUIDOBRO 3942,RUIZ HUIDOBRO 3942 | AV RUIZ HUIDOBRO 3942 | AVENIDA RUIZ HUIDOBRO 3942,"RUIZ HUIDOBRO AV. 3942, CABA",-34.551274,-58.487177,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LA RIOJA 916,LA RIOJA 916,LA RIOJA 916,"LA RIOJA 916, CABA",-34.621118,-58.407483,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SAENZ AV. 176,SAENZ 176,SAENZ 176 | AV SAENZ 176 | AVENIDA SAENZ 176,"SAENZ AV. 176, CABA",-34.641135,-58.415991,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
TABARE 3023,TABARE 3023,TABARE 3023,"TABARE 3023, CABA",-34.662996,-58.438971,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MONROE 4861,MONROE 4861,MONROE 4861,"MONROE 4861, CABA",-34.572593,-58.483513,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ARREGUI AV. 6101,ARREGUI 6101,ARREGUI 6101 | AV ARREGUI 6101 | AVENIDA ARREGUI 6101,"ARREGUI AV. 6101, CABA",-34.627656,-58.520708,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CORDOBA AV. 3810,CORDOBA 3810,CORDOBA 3810 | AV CORDOBA 3810 | AVENIDA CORDOBA 3810,"CORDOBA AV. 3810, CABA",-34.597842,-58.420471,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ACHA, MARIANO, Gral. 3060",ACHA 3060,ACHA 3060 | MARIANO GENERAL ACHA 3060,"ACHA, MARIANO, GRAL. 3060, CABA",-34.565362,-58.483291,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
GALLO 724,GALLO 724,GALLO 724,"GALLO 724, CABA",-34.60118,-58.41256,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"PERON, EVA AV. 4236",PERON 4236,PERON 4236 | EVA PERON 4236 | AV EVA PERON 4236,"PERON, JUAN DOMINGO, TTE. GENERAL 4236, CABA",-34.606007,-58.425922,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SAN MARTIN AV. 2837,SAN MARTIN 2837,SAN MARTIN 2837 | AV SAN MARTIN 2837 | AVENIDA SAN MARTIN 2837,"ESCALADA DE SAN MARTIN, R. 2837, CABA",-34.615,-58.47751,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CARACAS 1733,CARACAS 1733,CARACAS 1733,"CARACAS 1733, CABA",-34.611059,-58.471124,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
GAONA AV. 4701,GAONA 4701,GAONA 4701 | AV GAONA 4701 | AVENIDA GAONA 4701,"GAONA AV. 4701, CABA",-34.627181,-58.489187,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"GONZALEZ, JOAQUIN V. 2033",GONZALEZ 2033,GONZALEZ 2033 | JOAQUIN V GONZALEZ 2033,"GONZALEZ, JOAQUIN V. 2033, CABA",-34.614736,-58.495053,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LEZICA 4206,LEZICA 4206,LEZICA 4206,"LEZICA 4206, CABA",-34.612157,-58.425641,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SAN PEDRITO AV. 664,SAN PEDRITO 664,SAN PEDRITO 664 | AV SAN PEDRITO 664 | AVENIDA SAN PEDRITO 664,"SAN PEDRITO AV. 664, CABA",-34.638549,-58.466043,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"BALBIN, RICARDO, DR. AV. 4179",BALBIN 4179,BALBIN 4179 | RICARDO BALBIN 4179 | AV RICARDO BALBIN 4179,"BALBIN, RICARDO, DR. AV. 4179, CABA",-34.555002,-58.490901,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
GAONA AV. 3775,GAONA 3775,GAONA 3775 | AV GAONA 3775 | AVENIDA GAONA 3775,"GAONA AV. 3775, CABA",-34.622243,-58.477729,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BOEDO AV. 2059,BOEDO 2059,BOEDO 2059 | AV BOEDO 2059 | AVENIDA BOEDO 2059,"BOEDO AV. 2059, CABA",-34.63835,-58.416083,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
REPUBLICA BOLIVARIANA DE VENEZUELA 4115,REPUBLICA BOLIVARIANA DE VENEZUELA 4115,REPUBLICA BOLIVARIANA DE VENEZUELA 4115,"REPUBLICA BOLIVARIANA DE VENEZUELA 4115, CABA",-34.61776,-58.422958,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
GUIDO 1890,GUIDO 1890,GUIDO 1890,"GUIDO 1890, CABA",-34.589342,-58.390855,,2,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SOLIS 484,SOLIS 484,SOLIS 484,"SOLIS 484, CABA",-34.614651,-58.390383,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
AYACUCHO 1409,AYACUCHO 1409,AYACUCHO 1409,"AYACUCHO 1409, CABA",-34.592622,-58.394802,,2,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
GANDARA 3219,GANDARA 3219,GANDARA 3219,"GANDARA 3219, CABA",-34.585447,-58.484535,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
THAMES 32,THAMES 32,THAMES 32,"THAMES 32, CABA",-34.599514,-58.448576,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ALVAREZ,,,,,,,,,,sin_altura_o_codigo_no_consultado,sin_match,sin_geo,sin_candidatas_validas,2026-08-27
"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 6381",FERNANDEZ DE LA CRUZ 6381,FERNANDEZ DE LA CRUZ 6381 | F GENERAL FERNANDEZ DE LA CRUZ 6381 | AV F GENERAL FERNANDEZ DE LA CRUZ 6381,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 6381, CABA",-34.686617,-58.474445,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"PERON, EVA AV. 5887",PERON 5887,PERON 5887 | EVA PERON 5887 | AV EVA PERON 5887,"PERON, EVA AV. 5887, CABA",-34.663217,-58.488755,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ALVAREZ JONTE AV. 5372,ALVAREZ JONTE 5372,ALVAREZ JONTE 5372 | AV ALVAREZ JONTE 5372 | AVENIDA ALVAREZ JONTE 5372,"ALVAREZ JONTE AV. 5372, CABA",-34.624835,-58.512217,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
INDEPENDENCIA AV. 4032,INDEPENDENCIA 4032,INDEPENDENCIA 4032 | AV INDEPENDENCIA 4032 | AVENIDA INDEPENDENCIA 4032,"INDEPENDENCIA AV. 4032, CABA",-34.62151,-58.422637,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CASEROS AV. 3317,CASEROS 3317,CASEROS 3317 | AV CASEROS 3317 | AVENIDA CASEROS 3317,"CASEROS AV. 3317, CABA",-34.638123,-58.411931,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"LACROZE, FEDERICO AV. 3642",LACROZE 3642,LACROZE 3642 | FEDERICO LACROZE 3642 | AV FEDERICO LACROZE 3642,"LACROZE, FEDERICO AV. 3642, CABA",-34.582294,-58.451982,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
RIVADAVIA AV. 5387,RIVADAVIA 5387,RIVADAVIA 5387 | AV RIVADAVIA 5387 | AVENIDA RIVADAVIA 5387,"RIVADAVIA AV. 5387, CABA",-34.62032,-58.44121,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"BEIRO, FRANCISCO AV. 5686",BEIRO 5686,BEIRO 5686 | FRANCISCO BEIRO 5686 | AV FRANCISCO BEIRO 5686,"BEIRO, FRANCISCO AV. 5686, CABA",-34.617093,-58.528991,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CUENCA 1560,CUENCA 1560,CUENCA 1560,"CUENCA 1560, CABA",-34.61588,-58.483332,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
RIO LIMAY 1364,RIO LIMAY 1364,RIO LIMAY 1364,"RIO LIMAY 1364, CABA",-34.650155,-58.38656,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CORDOBA AV. 4667,CORDOBA 4667,CORDOBA 4667 | AV CORDOBA 4667 | AVENIDA CORDOBA 4667,"CORDOBA AV. 4667, CABA",-34.593752,-58.430733,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CASEROS AV. 2701,CASEROS 2701,CASEROS 2701 | AV CASEROS 2701 | AVENIDA CASEROS 2701,"CASEROS AV. 2701, CABA",-34.636155,-58.400688,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"CERRI, DANIEL, Gral. 1448",CERRI 1448,CERRI 1448 | DANIEL GENERAL CERRI 1448,"CERRI, DANIEL, GRAL. 1448, CABA",-34.646883,-58.370139,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CHICLANA AV. 2905,CHICLANA 2905,CHICLANA 2905 | AV CHICLANA 2905 | AVENIDA CHICLANA 2905,"CHICLANA AV. 2905, CABA",-34.628841,-58.405296,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
PUEYRREDON AV. 1070,PUEYRREDON 1070,PUEYRREDON 1070 | AV PUEYRREDON 1070 | AVENIDA PUEYRREDON 1070,"PUEYRREDON AV. 1070, CABA",-34.597826,-58.403615,,2,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"BEIRO, FRANCISCO AV. 5294",BEIRO 5294,BEIRO 5294 | FRANCISCO BEIRO 5294 | AV FRANCISCO BEIRO 5294,"BEIRO, FRANCISCO AV. 5294, CABA",-34.61387,-58.524813,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
VIDAL 2463,VIDAL 2463,VIDAL 2463,"VIDAL 2463, CABA",-34.560858,-58.463172,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SANABRIA 3345,SANABRIA 3345,SANABRIA 3345,"SANABRIA 3345, CABA",-34.605966,-58.510785,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
DIRECTORIO AV. 496,DIRECTORIO 496,DIRECTORIO 496 | AV DIRECTORIO 496 | AVENIDA DIRECTORIO 496,"DIRECTORIO AV. 496, CABA",-34.62806,-58.433607,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CARACAS 2442,CARACAS 2442,CARACAS 2442,"CARACAS 2442, CABA",-34.604374,-58.476424,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"GOYENA, PEDRO AV. 394",GOYENA 394,GOYENA 394 | PEDRO GOYENA 394 | AV PEDRO GOYENA 394,"GOYENA, PEDRO AV. 394, CABA",-34.625777,-58.432625,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
IBERA 5691,IBERA 5691,IBERA 5691,"IBERA 5691, CABA",-34.570577,-58.497364,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LA RIOJA 1937,LA RIOJA 1937,LA RIOJA 1937,"LA RIOJA 1937, CABA",-34.634263,-58.406002,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"PAZ, MARCOS 2708",PAZ 2708,PAZ 2708 | MARCOS PAZ 2708,"CIUDAD DE LA PAZ 2708, CABA",-34.557262,-58.462315,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CABILDO AV. 2978,CABILDO 2978,CABILDO 2978 | AV CABILDO 2978 | AVENIDA CABILDO 2978,"CABILDO AV. 2978, CABA",-34.554804,-58.463453,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ALVAREZ THOMAS AV. 2400,ALVAREZ THOMAS 2400,ALVAREZ THOMAS 2400 | AV ALVAREZ THOMAS 2400 | AVENIDA ALVAREZ THOMAS 2400,"ALVAREZ THOMAS AV. 2400, CABA",-34.577308,-58.475383,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MEDRANO AV. 78,MEDRANO 78,MEDRANO 78 | AV MEDRANO 78 | AVENIDA MEDRANO 78,"MEDRANO AV. 78, CABA",-34.610283,-58.421299,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BERUTI 3100,BERUTI 3100,BERUTI 3100,"BERUTI 3100, CABA",-34.588961,-58.407369,,2,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CABILDO AV. 1183,CABILDO 1183,CABILDO 1183 | AV CABILDO 1183 | AVENIDA CABILDO 1183,"CABILDO AV. 1183, CABA",-34.56835,-58.447846,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"SUCRE, ANTONIO JOSE de, Mcal. 2882",SUCRE 2882,SUCRE 2882 | ANTONIO JOSE DE MCAL SUCRE 2882,"SUCRE, ANTONIO JOSE DE, MCAL. 2882, CABA",-34.566526,-58.45938,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"PELLEGRINI, CARLOS 655",PELLEGRINI 655,PELLEGRINI 655 | CARLOS PELLEGRINI 655,"PELLEGRINI, CARLOS 655, CABA",-34.600796,-58.381097,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
RIVADAVIA AV. 8514,RIVADAVIA 8514,RIVADAVIA 8514 | AV RIVADAVIA 8514 | AVENIDA RIVADAVIA 8514,"RIVADAVIA AV. 8514, CABA",-34.634386,-58.483495,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
VERA 401,VERA 401,VERA 401,"VERA 401, CABA",-34.599683,-58.437009,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CESPEDES 3148,CESPEDES 3148,CESPEDES 3148,"CESPEDES 3148, CABA",-34.575682,-58.452835,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
AGUIRRE 1131,AGUIRRE 1131,AGUIRRE 1131,"AGUIRRE 1131, CABA",-34.59185,-58.441018,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CORDOBA AV. 1565,CORDOBA 1565,CORDOBA 1565 | AV CORDOBA 1565 | AVENIDA CORDOBA 1565,"CORDOBA AV. 1565, CABA",-34.599325,-58.38913,,2,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"MORENO, JOSE MARIA AV. 1216",MORENO 1216,MORENO 1216 | JOSE MARIA MORENO 1216 | AV JOSE MARIA MORENO 1216,"MORENO 1216, CABA",-34.612077,-58.383495,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CARABOBO AV. 1442,CARABOBO 1442,CARABOBO 1442 | AV CARABOBO 1442 | AVENIDA CARABOBO 1442,"CARABOBO AV. 1442, CABA",-34.640839,-58.446681,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CAÑADA DE GOMEZ 1890,CANADA DE GOMEZ 1890,CANADA DE GOMEZ 1890,"CAÑADA DE GOMEZ 1890, CABA",-34.657136,-58.509734,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
TONELERO 6381,TONELERO 6381,TONELERO 6381,"TONELERO 6381, CABA",-34.644797,-58.51851,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SANTO TOME 5387,SANTO TOME 5387,SANTO TOME 5387,"SANTO TOME 5387, CABA",-34.62253,-58.515648,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
NAZCA 4825,NAZCA 4825,NAZCA 4825,"NAZCA 4825, CABA",-34.585121,-58.503162,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CAMPANA 2995,CAMPANA 2995,CAMPANA 2995,"CAMPANA 2995, CABA",-34.603123,-58.495876,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MANZONI 28,MANZONI 28,MANZONI 28,"MANZONI 28, CABA",-34.637891,-58.499327,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CABILDO AV. 2040,CABILDO 2040,CABILDO 2040 | AV CABILDO 2040 | AVENIDA CABILDO 2040,"CABILDO AV. 2040, CABA",-34.562678,-58.456304,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"PERON, EVA AV. 2138",PERON 2138,PERON 2138 | EVA PERON 2138 | AV EVA PERON 2138,"PERON, JUAN DOMINGO, TTE. GENERAL 2138, CABA",-34.607227,-58.397001,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
RIVADAVIA AV. 1986,RIVADAVIA 1986,RIVADAVIA 1986 | AV RIVADAVIA 1986 | AVENIDA RIVADAVIA 1986,"RIVADAVIA AV. 1986, CABA",-34.609429,-58.394557,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CAÑADA DE GOMEZ 4830,CANADA DE GOMEZ 4830,CANADA DE GOMEZ 4830,"CAÑADA DE GOMEZ 4830, CABA",-34.685577,-58.474541,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
DEHEZA 3171,DEHEZA 3171,DEHEZA 3171,"DEHEZA 3171, CABA",-34.543936,-58.481315,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CORDOBA AV. 2440,CORDOBA 2440,CORDOBA 2440 | AV CORDOBA 2440 | AVENIDA CORDOBA 2440,"CORDOBA AV. 2440, CABA",-34.599496,-58.401667,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
