id,titulo,organismo,licencia,actualizado,recursos,formatos,tiene_coordenada,tiene_direccion,georreferenciable,palabras_gastro,palabras_local,columnas_sensibles,puntaje,columnas,url_portal
areas-hospitalarias,Áreas Hospitalarias,Ministerio de Salud,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,False,True,,,,4,geometry | id | nombre,https://data.buenosaires.gob.ar/dataset/areas-hospitalarias
icla-bap,Índice de Calidad de Limpieza adaptado a barrios vulnerables (ICLa),Ministerio de Espacio Público e Higiene Urbana,Creative Commons Attribution,2026-06-22,12,CSV KMZ PDF XLSX,True,False,True,,,,4,% cumple_0_criterio | % cumple_1_criterio | % cumple_2_criterio | % cumple_3_criterio | % cumple_4_criterio | barrio | criterio | estratificacion_geografica | indice_de_calidad_de_limpieza_adaptado | medicion | metros_lineales | periodo | peso_relativo | porcentaje_de_cumplimiento | viacirc | wkt,https://data.buenosaires.gob.ar/dataset/icla-bap
actividades-para-mercado,Actividades para el mercado,Dirección General de Estadísticas y Censos,CC-BY-2.5-AR,2026-06-17,6,CSV XLSX,False,False,False,mercado,,,3,anio | grupo_edad | nivel_instruccion | promedio_hs_diarias | quintil_ing_familiar | sexo,https://data.buenosaires.gob.ar/dataset/actividades-para-mercado
capacitadores-manipuladores-alimentos,Capacitadores de Manipuladores de Alimentos.,Agencia Gubernamental de Control (AGC),CC-BY-2.5-AR,2026-07-03,2,CSV XLSX,False,False,False,alimento,,apellido mail telefono,3,mail | nombre_y_apellido | numero_de_registro | telefono,https://data.buenosaires.gob.ar/dataset/capacitadores-manipuladores-alimentos
ciudad-limpia-campana-responsable,Ciudad Limpia - Campaña Responsable,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2026-06-18,8,CSV XLSX,False,True,True,,inspeccion,,3,alianza | altura | barrio | calle | cant_afiches | comuna | direccionnormalizada | fecha_acta | foto_acta | foto_elemento1 | foto_elemento2 | foto_elemento3 | geocodificacion | id | infractor | inspector_id | mobiliario | numero_acta,https://data.buenosaires.gob.ar/dataset/ciudad-limpia-campana-responsable
concesiones,Concesiones,Ministerio de Hacienda y Finanzas,CC-BY-2.5-AR,2026-07-21,2,CSV XLSX,False,True,True,,rubro,apellido,3,fecha de firma del contrato | razon social / nombre y apellido | rubro | tipo de contrato | ubicacion del inmueble | vencimiento,https://data.buenosaires.gob.ar/dataset/concesiones
elecciones-2021,Elecciones 2021,Subsecretaría de Justicia,Creative Commons Attribution,2024-12-04,13,CSV XLSX ZIP,False,True,True,,establecimiento,cuit,3, | aptitud renovadora | autodeterminacion y libertad | autonomista | c0muna | cant_mesas | cant_mesas	 | circuito | comuna | dignidad popular | distrito | domicilio | electores | en blanco | federal | frente de izquierda y los trabajadores | frente de todos | impugnados | juntos por el cambio | la libertad avanza | libres del sur | mesa_desde | mesa_hasta | movimiento al socialismo | nombre_establecimiento | nulos | politica obrera | recurridos | renovador federal | socialista autentico | totales,https://data.buenosaires.gob.ar/dataset/elecciones-2021
elecciones-2023,Elecciones 2023,Subsecretaría de Justicia,CC-BY-2.5-AR,2026-07-01,6,CSV XLSX,False,True,True,,establecimiento,cuit,3,agrupacion_nombre | circuito | circuito_id | comuna | direccion_establecimiento | establecimiento | mesa_desde | mesa_hasta | mesa_id | seccion_id | seccion_nombre | total_mesas | votos_cantidad | votos_tipo,https://data.buenosaires.gob.ar/dataset/elecciones-2023
elecciones-2025,Elecciones 2025,Ministerio de Justicia y Seguridad,Creative Commons Attribution,2025-08-29,2,CSV XLSX,False,True,True,,establecimiento,cuit,3,circuito | ciudadanos_habilitado | descripcion | domicilio | extranjera | id_cargo | id_establecimiento | id_mesa | lista | nro_lista | seccion | votos_totales,https://data.buenosaires.gob.ar/dataset/elecciones-2025
eventos-turismo-reuniones-eventos-deportivos-internacionales,Eventos de Turismo de reuniones y Eventos deportivos internacionales,Ente de Turismo (ENTUR),CC-BY-2.5-AR,2026-07-22,2,CSV XLSX,False,False,False,feria,,,3,fecha de finalizacion | fecha de inicio | nombre del evento | tipo de evento,https://data.buenosaires.gob.ar/dataset/eventos-turismo-reuniones-eventos-deportivos-internacionales
calzada-gastronomica,Expansión de calzada gastronómica(decks),Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2025-07-29,3,CSV JSON ZIP,False,False,False,gastronom,,,3,alt_derfin | alt_derini | alt_izqfin | alt_izqini | barrio | comuna | nomoficial,https://data.buenosaires.gob.ar/dataset/calzada-gastronomica
locales-en-venta,Locales en Venta,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2026-07-06,4,CSV ZIP,False,True,True,,local,,3,antig | barrios_ | comuna_ | cotiz_ | direccion | en_galeria | pesosm2 | preciopeso | preciousd | propiedads | trimestre_ | usdm2,https://data.buenosaires.gob.ar/dataset/locales-en-venta
mercado-inmobiliario,Mercado inmobiliario,Dirección General de Estadísticas y Censos,CC-BY-2.5-AR,2025-08-14,10,CSV XLSX,False,False,False,mercado,,cuil,3,ambientes | anio | ano | ano_mes | autoridad_superior | barrio | cant_hijos | cargo | comuna | cuil | djratificada | estado | fechapresentacion | jurisdiccion | mes | monto_operado_prestamos_uva | monto_operado_prestamos_uva	 | nombre | precio_prom | sade_gedo_nro_ratificada | sadegedonumero | sadegedonumero	 | superficie | tipoddjj | total_acciones | total_b_inmuebles | total_b_muebles | total_bonos | total_depositos | total_dinero_efectivo | total_dinero_electronico | total_fondos | total_titulos | trimestre | usuariosade | var_anual | var_mensual,https://data.buenosaires.gob.ar/dataset/mercado-inmobiliario
mercado-laboral,Mercado laboral,Dirección General de Estadísticas y Censos,CC-BY-2.5-AR,2026-06-22,16,CSV XLSX,False,False,False,mercado,,,3,anio | calificacion_ocupacional | horas_trabajadas | nivel_instruccion | porc_calif_ocupacional | porc_poblacion | promedio_hs_trabajadas | sexo | tasa_actividad | tasa_desempleo | tasa_empleo | tasa_subocupacion,https://data.buenosaires.gob.ar/dataset/mercado-laboral
espacio-publico-decks,Permisos de uso del espacio público - DECKS.,Secretaria de Atención Ciudadana y Gestión Comunal,Creative Commons Attribution,2026-03-13,2,CSV XLSX,False,True,True,,permiso,documento,3,altura | anio | barrio | calle | comuna | estado | expediente | fecha_inicio | fecha_vencimiento | nro_disposicion_resolucion | nro_documento | solicitante | tipo_documento,https://data.buenosaires.gob.ar/dataset/espacio-publico-decks
productoras-eventos-masivos,Productoras de Eventos Masivos,Agencia Gubernamental de Control (AGC),CC-BY-2.5-AR,2026-07-23,2,CSV XLSX,False,True,True,,local,razon_social telefono,3,codigo_postal | direccion | localidad | razon_social | telefono | ultima_disposicion | vencimiento_inscripcion,https://data.buenosaires.gob.ar/dataset/productoras-eventos-masivos
registro-elevadores-artefactos-termicos,Registro de elevadores y artefactos térmicos,Agencia Gubernamental de Control (AGC),CC-BY-2.5-AR,2026-07-03,6,CSV XLSX,False,True,True,,empresa,apellido razon_social,3,comuna | direccion_declarada | empresa_razon_social | empresa_registro | estado_aceptacion | estado_libro | fecha_estado_aceptacion | manzana | mazana | parcela | patente | periodo | profesional_matricula | profesional_nombre_apellido | seccion | tipo_instalacion | ultima_bu_paga_anio_vigencia | ultimo_informe_fecha | ultimo_informe_observacion | ultimo_informe_prof_matricula | ultimo_informe_prof_nombre | ultimo_informe_resultado,https://data.buenosaires.gob.ar/dataset/registro-elevadores-artefactos-termicos
actuaciones-fiscalizacion,Actuaciones de fiscalización,Administración Gubernamental de Ingresos Públicos (AGIP),CC-BY-2.5-AR,2025-09-05,4,CSV XLSX,False,False,False,,fiscalizacion inspeccion,cuit razon_social,2,cuit | departamento | division | fecha_devol_trans | fecha_devol_transf | fecha_inicio | inspector | num_orden | periodo | razon_social | supervisor,https://data.buenosaires.gob.ar/dataset/actuaciones-fiscalizacion
ampliacion-de-veredas,Ampliación de veredas,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2025-10-29,4,CSV GEOJSON XLSX ZIP,False,False,True,,,,2,ampliacion | eje | tramo,https://data.buenosaires.gob.ar/dataset/ampliacion-de-veredas
banda-minima-edificable,Banda Mínima Edificable,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2024-11-28,4,CSV GEOJSON XLSX ZIP,False,False,True,,,,2,fuente | id | sm,https://data.buenosaires.gob.ar/dataset/banda-minima-edificable
participacion-ciudadana-cercania,Cercanía - Programa de Participación Ciudadana,Secretaria de Gobierno y Vinculo Ciudadano,Creative Commons Attribution,2026-07-28,4,CSV XLSX,False,True,True,,,,2,ano | asistentes | asistentes_total_evento | barrio | barrio_evento | categoria cercania | comuna | descripcion | direccion | expositor_principal_evento | fecha de evento | fecha_inicio_evento | funcionario | funcionario_principal_evento | inscriptos | inscriptos_total_evento | modalidad | nombre actividad | nombre_evento | tematica,https://data.buenosaires.gob.ar/dataset/participacion-ciudadana-cercania
certificados-urbanisticos,Certificados Urbanisticos,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2026-07-28,2,CSV XLSX,False,True,True,,,documento,2,anio | barrio | codigo_trata | comuna | ecosistema | ex | fecha_egreso | manzana | numero | numero_sade_documento | obra | parcela | reparticion | seccion | smp,https://data.buenosaires.gob.ar/dataset/certificados-urbanisticos
colectivos-recorridos,Colectivos: recorridos,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-23,4,CSV GEOJSON KML ZIP,False,False,True,,,,2,camara | desde | hasta | id | jurisdiccion | l r s | linea | modalidad | recorrido | sentido,https://data.buenosaires.gob.ar/dataset/colectivos-recorridos
comisarias-con-unidades-genero,Comisarías con Unidades de Género.,Ministerio de Justicia y Seguridad,Creative Commons Attribution,2025-04-10,2,CSV XLSX,False,True,True,,,telefono,2,area | comunas comprendidas | direccion | horario de atencion | telefono,https://data.buenosaires.gob.ar/dataset/comisarias-con-unidades-genero
conjuntos-habitacionales,Conjuntos habitacionales,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2024-11-04,1,ZIP,False,True,True,,,,2,alt_2013 | alt_2017 | area | extr_2017 | smp,https://data.buenosaires.gob.ar/dataset/conjuntos-habitacionales
control-higiene-urbana,Control de Higiene Urbana,Subsecretaria de Higiene Urbana,CC-BY-2.5-AR,2026-06-18,10,CSV XLSX,False,False,False,,fiscalizacion rubro,,2,cantidad_actas | cantidad_fiscalizaciones | comuna | motivo_acta | rubro,https://data.buenosaires.gob.ar/dataset/control-higiene-urbana
empresas-seguridad-privada-habilitadas,Empresas de Seguridad Privada Habilitadas,Ministerio de Justicia y Seguridad,CC-BY-2.5-AR,2025-09-29,2,CSV XLSX,False,False,False,,empresa habilitacion,,2,empresa | marca | periodo | renar_vence | seguro | usa_armas | vigencia,https://data.buenosaires.gob.ar/dataset/empresas-seguridad-privada-habilitadas
subsecretaria-familia-y-comunidad,Estadísticas y efectores de la Subsecretaría de Familia y Comunidad,Ministerio de Desarrollo Humano y Hábitat,Creative Commons Attribution,2026-07-28,12,CSV XLSX,False,True,True,,,email mail telefono,2,anio | archivo_origen | barrio | categoria | cim | comuna | destinatarios | dias | dimension | direccion | email | horario_atencion | indicador | intervenciones | mes | nombre | personas_unicas | programa | sede | telefono | tipo_prestacion | tipo_taller | unidad | valor | valor_total | web,https://data.buenosaires.gob.ar/dataset/subsecretaria-familia-y-comunidad
fachadas,Fachadas.,Agencia Gubernamental de Control (AGC),CC-BY-2.5-AR,2026-07-03,2,CSV XLSX,False,True,True,,,,2,certificado_vencimiento | direccion_altura | direccion_calle | manzana | parcela | seccion,https://data.buenosaires.gob.ar/dataset/fachadas
franja-edificable-lineas,Franja Edificable: líneas,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2025-04-03,12,CSV GEOJSON XLSX ZIP,False,False,True,,,,2,fuente | id | sm,https://data.buenosaires.gob.ar/dataset/franja-edificable-lineas
inspectores-verificadores-ambiente-espacio-publico,Inspectores y verificadores de Espacio Público e Higiene Urbana,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2026-06-23,2,CSV XLSX,False,True,True,,,apellido dni,2,apellido | direccion | dni | horario de trabajo | modalidad de contratacion | nombre | observaciones | puesto actual,https://data.buenosaires.gob.ar/dataset/inspectores-verificadores-ambiente-espacio-publico
operativos-defensa-civil,Operativos de Defensa Civil,Ministerio de Justicia y Seguridad,CC-BY-2.5-AR,2026-06-24,52,CSV XLSX ZIP,False,True,True,,,,2,a_cargo | amenaza | arc_street | barrio | calles | clasif | comuna | control | direccian_ | direccion | emergencia | fecha | id | match_addr | match_type | mes | movil | numero | observacio | planilla_n | prevencion | score | side | status | suceso | tipo | turno,https://data.buenosaires.gob.ar/dataset/operativos-defensa-civil
participacion-ciudadana,Participación Ciudadana,"Secretaría de Comunicación, Contenidos y Participación Ciudadana",CC-BY-2.5-AR,2026-06-24,15,CSV PDF XLSX,False,True,True,,,,2,2017 | 2018 | 2019 | ano | area | asistentes | barrio | cantidad de premios en abl otorgados | cantidad de premios en sube otorgados | cantidad de votos | categoria | categoria cercania | choferes | choferes votados abril | choferes votados agosto | choferes votados diciembre | choferes votados julio | choferes votados junio | choferes votados mayo | choferes votados noviembre | choferes votados octubre | choferes votados septiembre | comisarias participantes | comuna | descripcion | direccion | duracion (meses) | edicion | evento | fecha de evento | funcionario | ganadores efectivos | id | inscriptos | inscriptos  | instancia | linea | metrica | modalidad | n edicion,https://data.buenosaires.gob.ar/dataset/participacion-ciudadana
plantas-nativas-reserva-ecologica-costanera-sur,Plantas Nativas de la Reserva Ecológica Costanera Sur,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2026-06-23,4,CSV XLSX,False,True,True,,,,2,altura maxima | cantidad | envase 10l | envase 1l | envase 20l | envase 3l | envase 5l | nombre cientifico | nombre vulgar | periodo | tipo de ejemplares,https://data.buenosaires.gob.ar/dataset/plantas-nativas-reserva-ecologica-costanera-sur
postas-de-vacunacion-covid-19,Postas de vacunación COVID-19,Ministerio de Salud,CC-BY-2.5-AR,2025-08-11,4,CSV JSON XLSX ZIP,False,True,True,,,,2,altura | barrio | calle | calle2 | categoria | clasif_int | comuna | direccion | efector | id | observacio | tipo_de_ef,https://data.buenosaires.gob.ar/dataset/postas-de-vacunacion-covid-19
mapa-solar,Radiación Solar Total anual,Subsecretaría de Planeamiento,Creative Commons Attribution,2026-06-09,10,ZIP,False,True,True,,,,2,actualizac | an_kwhm2 | area | barrio | dic_kwhm2 | grid_code | jun_kwhm2 | objectid | pointid | smp,https://data.buenosaires.gob.ar/dataset/mapa-solar
seguimiento-obras-adjudicadas-soa,Seguimiento de Obras Adjudicadas (SOA).,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2026-06-22,2,CSV XLSX,False,True,True,,,,2,anio_expediente | area | barrio | comuna | contratista | descripcion | domicilio | estado_obra | expediente | fecha_inicio | foto_descripcion | foto_nombre | obra | tipo | unidad_ejecutora,https://data.buenosaires.gob.ar/dataset/seguimiento-obras-adjudicadas-soa
seguridad-vial-autopistas-ausa,Seguridad Vial Autopistas AUSA,Autopistas Urbanas (AUSA),Creative Commons Attribution,2026-06-23,17,CSV PDF XLSX,False,True,True,,,,2,autopista | banda y/o ramal | banda_y_o_ramal | bus | camion | condiciones meteorologicas | condiciones_meteorologicas | fallecidos | fecha | fechareclamo;canal;clase;motivo;ubicacionincidente;ubicacionqueja | hora | lesionados | liviano | lviano | moto | nro_caso | periodo | pk | superficie de la via | superficie_de_la_via | tipo de siniestro | tipo_de_siniestro | titulo_caso,https://data.buenosaires.gob.ar/dataset/seguridad-vial-autopistas-ausa
verano-ciudad,Verano en la ciudad,Ministerio de Cultura,CC-BY-2.5-AR,2026-06-23,24,CSV XLSX,False,True,True,,,,2,actividad | agotado | ambito nacional | artista 1 | artista 2 | artista 3 | artista 4 | artista 5 | barrio | ciudad | colectivos | cuerpo de la noticia | datos tecnicos | descripcion | descripcion (es) | destacada en portada | direccion | entrada gratuita | extracto | fecha | fecha de actualizacion | fecha de creacion | grupo de actividad | hora | identificador de actividad | identificador de barrio | identificador de noticia | identificador del evento | identificador del grupo de actividad | identificador del lugar | imagen | informacion de entradas | literal | lugar | mapa | nombre | nombre (en) | nombre (es) | nombre del lugar | nombre en ingles,https://data.buenosaires.gob.ar/dataset/verano-ciudad
asistencia-escolar,Asistencia escolar.,Dirección General de Estadísticas y Censos,CC-BY-2.5-AR,2026-06-18,10,CSV XLSX,False,False,False,,establecimiento,,1,anio | cantidad_personas | condicion_asist_escolar | edad | grupo_edad | porc_asistencia_escolar | porc_poblacion_escolarizada | promedio_anios_estudio | sexo,https://data.buenosaires.gob.ar/dataset/asistencia-escolar
ba-obras,BA Obras,Secretaría Legal y Técnica,CC-BY-2.5-AR,2026-06-18,4,CSV XLSX,False,False,False,,empresa,cuit,1,cuit | ejercicio_contrato | estado_obra | nombre_jurisdiccion | nro_contratacion_bao | numero_expediente | obra_nombre | tipo_procedimiento,https://data.buenosaires.gob.ar/dataset/ba-obras
beneficiarios-primera-casa-ba,Beneficiarios Primera Casa BA,Instituto de Vivienda de la Ciudad (IVC),CC-BY-2.5-AR,2026-02-20,2,CSV XLSX,False,False,False,,local,,1,alquila | barrio | comuna | condicion_laboral_primaria | condicion_laboral_secundaria | edad | genero | ingreso_conjunto | localidad | nivel_educativo | partido | smvm,https://data.buenosaires.gob.ar/dataset/beneficiarios-primera-casa-ba
compras-coronavirus,Compras coronavirus.,Ministerio de Hacienda y Finanzas,CC-BY-2.5-AR,2025-01-20,2,CSV XLSX,False,False,False,,rubro,cuit,1,cantidad | cuit | descripcion | fecha | importe | jurisdiccion | nro_orden_de_compra | nro_pliego | proveedor | rubro | unidad_ejecutora,https://data.buenosaires.gob.ar/dataset/compras-coronavirus
denuncias-defensa-consumidor,Denuncias Defensa del Consumidor,Secretaria de Atención Ciudadana y Gestión Comunal,CC-BY-2.5-AR,2026-06-18,4,CSV XLSX,False,False,False,,rubro,,1,comuna | denuncia_id | fecha | motivo_denuncia | rubro,https://data.buenosaires.gob.ar/dataset/denuncias-defensa-consumidor
donacion-trasplante-organos-tejidos-ciudad-buenos-aires,Donación y Trasplante de órganos y tejidos en la Ciudad de Buenos Aires.,Ministerio de Salud,CC-BY-2.5-AR,2026-06-24,8,CSV,False,False,False,,establecimiento,,1,edad | genero | implante | institucion | institucion  | organo | organos implantados | sexo | tipo de donante  | tipo_donacion | tipo_donante,https://data.buenosaires.gob.ar/dataset/donacion-trasplante-organos-tejidos-ciudad-buenos-aires
edificios-publicos-3d,Edificios Públicos en 3D,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2025-06-30,9,ZIP,False,False,False,,cultural,,1,,https://data.buenosaires.gob.ar/dataset/edificios-publicos-3d
educacion-sexual-integral,Educación Sexual Integral (ESI),Secretaría para la Igualdad de Género.,Creative Commons Attribution,2026-05-27,8,CSV XLSX,False,False,False,,establecimiento,,1,cantidad | dependencia ministerial | nivel y modalidad | sector | total de docentes capacitados en educacion sexual integral | total de establecimientos educativos que tienen implementada la ley de educacion sexual integral (por tipo de gestion y nivel educativo),https://data.buenosaires.gob.ar/dataset/educacion-sexual-integral
impulso-cultural-beneficiarios,Impulso Cultural Beneficiarios.,Ministerio de Cultura,CC-BY-2.5-AR,2026-03-04,4,CSV XLSX,False,False,False,,cultural,titular,1,categoria | id | linea | monto_otorgado | proyecto_sala_teatral | proyecto_sala_teatral	 | regimen | titular | titular	,https://data.buenosaires.gob.ar/dataset/impulso-cultural-beneficiarios
indicadores-colectivo,Indicadores de colectivos,Secretaría de Transporte y Obras Públicas,Creative Commons Attribution,2026-06-25,14,CSV PDF XLSX,False,False,False,,empresa,,1,antiguedad_mmaaaa | electrico_mmaaaa | euro3_mmaaaa | euro5_mmaaaa | gnc_mmaaaa | ipk_mmaaaa | jurisdiccion | km_mens_mmaaaa | linea | parque_mov_hab_mmaaaa | pct_trx_qr_mmaaaa | pct_trx_sube_fis_app_mmaaaa | pct_trx_tarjetas_mmaaaa | trx_total_mes_mmaaaa | vc_mmaaaa,https://data.buenosaires.gob.ar/dataset/indicadores-colectivo
inscripcion-escolar,Inscripción Escolar.,Ministerio de Educación,CC-BY-2.5-AR,2026-06-23,8,CSV XLSX,False,False,False,,establecimiento,,1,comuna | cue anexo | distrito | especialidad | establecimiento | estado | grado/ano | modalidad | nivel educativo | partido | periodo | prioridad | provincia | turno,https://data.buenosaires.gob.ar/dataset/inscripcion-escolar
inspectores-trabajo-industria-comercio,"Inspectores de Trabajo, Industria y Comercio",Ministerio de Justicia y Seguridad,CC-BY-2.5-AR,2026-06-23,2,CSV XLSX,False,False,False,,comercio,apellido dni,1,apellido | area | dependencia | dni | nombre | tarea,https://data.buenosaires.gob.ar/dataset/inspectores-trabajo-industria-comercio
inspectores-verificadores-agc,Inspectores y Verificadores de la AGC,Agencia Gubernamental de Control (AGC),CC-BY-2.5-AR,2025-06-27,2,CSV XLSX,False,False,False,,rubro,apellido,1,area | inspector_apellido | inspector_nombre | inspector_numero,https://data.buenosaires.gob.ar/dataset/inspectores-verificadores-agc
manifestaciones-donacion-para-trasplantes,Manifestaciones a la donación para trasplantes,Ministerio de Salud,CC-BY-2.5-AR,2026-06-18,2,CSV XLSX,False,False,False,,establecimiento,,1,comuna | consentimiento | cuales_no | cualquier_organo | edad | investigacion | nacionalidad | sexo | trasplante,https://data.buenosaires.gob.ar/dataset/manifestaciones-donacion-para-trasplantes
medios-vecinales,Medios Vecinales,Secretaria de Comunicación,CC-BY-2.5-AR,2026-04-17,2,CSV XLSX,False,False,False,,local,mail,1,fecha_registracion | fecha_registracion	 | mail | mail	 | nombre_del_medio | proveedor | tipo_de_medio,https://data.buenosaires.gob.ar/dataset/medios-vecinales
movimiento-hospitalario,Movimiento hospitalario.,Ministerio de Salud,Creative Commons Attribution,2025-09-01,6,CSV XLSX,False,False,False,,establecimiento,,1,agrupacion | altas | anio | ano | def | dias_camas_disp | efector | egr_pases | especialidad | especialidades | giro | ing | ing_pases | nom_efector_badata | observaciones | pac_dia | pases_a | pases_b | porcentaje_ocup | promedio_camas_disp | promedio_pac_dia | promedio_perm | servicio | sk_id_efector | tasa_mort_hosp | total,https://data.buenosaires.gob.ar/dataset/movimiento-hospitalario
mujeres-puestos-decision,Mujeres en puestos de decisión,Dirección General de Estadísticas y Censos,CC-BY-2.5-AR,2026-06-18,6,CSV XLSX,False,False,False,,empresa,,1,anio | cargos | porc_mujeres_dirgral_orgsup | porc_mujeres_empresas_pub | porc_mujeres_policia,https://data.buenosaires.gob.ar/dataset/mujeres-puestos-decision
calesitas,Permisos de uso del espacio público - Calesitas.,Secretaria de Atención Ciudadana y Gestión Comunal,Creative Commons Attribution,2026-03-13,2,CSV XLSX,False,False,False,,permiso,cuit dni,1, | anio_expediente | barrio | comuna | dni_cuit | dni_cuit	 | estado | fecha_dispo | fecha_dispo	 | fecha_vto_dispo | nro_dispo_reso | nro_expediente | plaza | solicitante,https://data.buenosaires.gob.ar/dataset/calesitas
deudores-morosos-alimentarios,Registro de Deudores Alimentarios Morosos,Ministerio de Justicia y Seguridad,Creative Commons Attribution,2026-07-03,2,CSV XLSX,False,False,False,,local,,1,fecha_registracion | juzgado | juzgado_prov_nac | juzgado_prov_nac	 | localidad | nacionalidad | provincia | secretaria | sexo,https://data.buenosaires.gob.ar/dataset/deudores-morosos-alimentarios
shakespeare-buenos-aires,Shakespeare Buenos Aires,Ministerio de Cultura,CC-BY-2.5-AR,2026-04-21,2,ZIP,False,False,False,,cultural,,1,duration | filepic1 | id_artist1 | id_artist2 | id_artist3 | id_country1 | id_country2 | id_play | id_section | id_youtube | is_national | published | synopsis_en | synopsis_es | title | title_en | title_es | updated_ts | year,https://data.buenosaires.gob.ar/dataset/shakespeare-buenos-aires
api-busqueda-lugares-interes,API Búsqueda Lugares de Interés,Secretaria de Innovación y Transformación Digital,CC-BY-2.5-AR,2026-06-17,1,HTML,False,False,False,,,,0,,https://data.buenosaires.gob.ar/dataset/api-busqueda-lugares-interes
api-consulta-datos-catastrales-caba,API Consulta de Datos Catastrales de CABA,Secretaria de Innovación y Transformación Digital,CC-BY-2.5-AR,2026-06-17,1,API,False,False,False,,,,0,,https://data.buenosaires.gob.ar/dataset/api-consulta-datos-catastrales-caba
api-consulta-datos-utiles,API Consulta de datos útiles,Secretaria de Innovación y Transformación Digital,CC-BY-2.5-AR,2026-06-17,1,,False,False,False,,,,0,,https://data.buenosaires.gob.ar/dataset/api-consulta-datos-utiles
api-geocodificador-direcciones-caba,API Geocodificador de Direcciones en CABA,Secretaria de Innovación y Transformación Digital,CC-BY-2.5-AR,2026-06-17,1,,False,False,False,,,,0,,https://data.buenosaires.gob.ar/dataset/api-geocodificador-direcciones-caba
api-normalizacion-direcciones-amba,API Normalización de direcciones en AMBA,Secretaria de Innovación y Transformación Digital,CC-BY-2.5-AR,2026-06-17,1,,False,False,False,,,,0,,https://data.buenosaires.gob.ar/dataset/api-normalizacion-direcciones-amba
api-transporte-publico,API Transporte Público,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-17,5,,False,False,False,,,,0,,https://data.buenosaires.gob.ar/dataset/api-transporte-publico
acceso-credenciales-educativas,Acceso a credenciales educativas,Dirección General de Estadísticas y Censos,CC-BY-2.5-AR,2026-06-18,6,CSV XLSX,False,False,False,,,,0,anio | brecha_analfabetismo | esp_vida_escolar | nivel_ensenanza | sexo | tasa_escolarizacion,https://data.buenosaires.gob.ar/dataset/acceso-credenciales-educativas
acceso-informacion-publica,Acceso a la Información Pública,Secretaría Legal y Técnica,CC-BY-2.5-AR,2026-06-04,4,CSV XLSX,False,False,False,,,,0,calidad_respuesta | calidad_respuesta	 | categoria_tema | categoria_tema_especifico | dependencia | dependencia_ministerio | estado | expediente | fecha | fecha_respuesta | id_solicitante | ministerio | observaciones | observaciones	 | periodo | prorroga | resumen_respuesta | tema | termino | tiempo_de_respuesta | tipo_solicitante | vencimiento_1 | vencimiento_2,https://data.buenosaires.gob.ar/dataset/acceso-informacion-publica
acceso-puestos-jerarquicos,Acceso a puestos jerárquicos,Dirección General de Estadísticas y Censos,CC-BY-2.5-AR,2026-06-17,2,CSV XLSX,False,False,False,,,,0,anio | jerarquia_ocupacional | porc_asalariados | sexo,https://data.buenosaires.gob.ar/dataset/acceso-puestos-jerarquicos
acceso-recursos-economicos,Acceso a recursos económicos.,Dirección General de Estadísticas y Censos,CC-BY-2.5-AR,2026-06-18,4,CSV XLSX,False,False,False,,,,0,anio | porc_hogares | regimen_tenencia_vivienda | relacion_ing_canasta | sexo_jefe_hogar,https://data.buenosaires.gob.ar/dataset/acceso-recursos-economicos
acceso-mujeres-salud,Acceso de mujeres a la salud,Dirección General de Estadísticas y Censos,CC-BY-2.5-AR,2026-06-17,8,CSV XLSX,False,False,False,,,,0,anio | grupo_edad | porc_mujeres_mamografia | porc_pers_por_hogar | porcentaje_pap | sexo | tasa_mortalidad_materna | tipo_cobertura_salud,https://data.buenosaires.gob.ar/dataset/acceso-mujeres-salud
concientizacion-juego,Acciones de Concientización y Prevención en Juego Responsable,Ministerio de Hacienda y Finanzas,Creative Commons Attribution,2026-02-18,2,CSV XLSX,False,False,False,,,,0,actividad | cantidad | fecha | publico,https://data.buenosaires.gob.ar/dataset/concientizacion-juego
actividades-destinadas-personas-mayores,Actividades destinadas a Personas Mayores,Ministerio de Desarrollo Humano y Hábitat,CC-BY-2.5-AR,2025-10-21,2,CSV XLSX,False,False,False,,,,0,anio | area_responsable | cantidad_asistentes | descripcion_actividad | mes | motivo_actividad | tipo_actividad,https://data.buenosaires.gob.ar/dataset/actividades-destinadas-personas-mayores
